drop,raw_voltage_V, Water level (V) TDS Raw (mS/cm), TDS EMA (mS/cm), Water Level Raw (%), Water Level EMA (%),
1,2.545,2.562,0.578,0.561,95,131
2,2.562,2.562,0.546,0.558,226,150
3,2.562,2.562,0.55,0.557,226,165.2
4,2.541,2.562,0.563,0.558,56,143.4
5,2.522,2.562,0.734,0.593,165,147.7
6,2.343,2.399,0.723,0.619,111,140.4
7,2.348,2.387,0.804,0.656,171,146.5
8,2.268,2.295,0.862,0.697,52,127.6
9,2.315,2.374,0.777,0.713,232,148.5
10,2.222,2.264,0.961,0.763,72,133.2
11,2.281,2.301,0.878,0.786,238,154.1
12,2.241,2.281,0.922,0.813,112,145.7
13,2.241,2.275,0.918,0.834,51,126.8
14,2.247,2.276,0.919,0.851,133,128
15,2.208,2.237,0.955,0.872,73,117
16,2.232,2.241,0.929,0.883,22,98
17,2.23,2.24,1.295,0.966,213,121
18,2.203,2.228,0.974,0.967,66,110
19,2.22,2.241,0.952,0.964,73,102.6
20,2.2,2.222,0.975,0.966,204,122.9
21,2.226,2.241,0.943,0.962,32,104.7
22,2.202,2.231,0.974,0.964,184,120.6
23,2.196,2.228,0.973,0.966,175,131.5
24,2.197,2.224,1.013,0.975,6,106.4
25,2.212,2.237,0.967,0.974,103,105.7
26,2.175,2.201,1.017,0.982,28,90.2
27,2.168,2.174,1.049,0.996,78,87.7
28,2.186,2.209,1.003,0.997,163,102.8
29,2.17,2.19,1.03,1.004,240,130.2
30,2.144,2.172,1.058,1.015,148,133.8
31,2.153,2.187,1.028,1.017,204,147.8
32,2.172,2.196,1.033,1.025,99,129.4
33,2.17,2.19,1.03,1.026,82,119.9
34,2.165,2.183,1.04,1.029,53,106.5
35,2.163,2.181,1.043,1.031,169,119
36,2.159,2.184,1.048,1.035,38,102.8
37,2.158,2.181,1.051,1.038,157,113.7
38,2.153,2.173,1.055,1.041,145,119.9
39,2.15,2.17,1.069,1.047,145,124.9
40,2.149,2.17,1.059,1.049,145,129
41,2.15,2.168,1.062,1.052,142,131.6
42,2.146,2.165,1.066,1.055,141,133.4
43,2.144,2.164,1.069,1.057,143,135.4
44,2.143,2.16,1.071,1.06,142,136.7
45,2.143,2.159,1.076,1.063,13,112
46,2.141,2.155,1.089,1.068,22,94
47,2.138,2.156,1.087,1.072,156,106.4
48,2.14,2.158,1.082,1.074,37,92.5
49,2.137,2.152,1.088,1.077,26,79.2
50,2.135,2.152,1.089,1.079,37,70.8
51,2.131,2.15,1.092,1.082,51,66.8
52,2.132,2.152,1.094,1.084,183,90
53,2.132,2.149,1.096,1.087,183,108.6
54,2.13,2.146,1.091,1.088,183,123.5
55,2.13,2.14,1.113,1.093,175,133.8
56,2.126,2.141,1.104,1.095,201,147.2
57,2.127,2.143,1.113,1.099,211,160
58,2.126,2.142,1.104,1.1,201,168.2
59,2.131,2.128,1.001,1.08,176,169.8
60,2.128,2.14,1.128,1.09,78,151.4
61,2.115,2.14,1.109,1.093,169,154.9
62,2.135,2.13,1.151,1.105,43,132.5
63,2.116,2.134,1.118,1.108,49,115.8
64,2.12,2.136,1.129,1.112,139,120.5
65,2.113,2.131,1.119,1.113,202,136.8
66,2.065,2.162,1.134,1.117,202,149.8
67,2.113,2.131,1.135,1.121,1,120.1
68,2.109,2.125,1.132,1.123,21,100.2
69,2.11,2.125,1.15,1.128,225,125.2
70,2.11,2.122,1.144,1.131,159,132
71,2.105,2.133,1.148,1.135,153,136.2
72,2.105,2.123,1.155,1.139,41,117.1
73,2.107,2.113,1.154,1.142,159,125.5
74,2.11,2.122,1.142,1.142,21,104.6
75,2.118,2.12,1.17,1.148,33,90.3
76,2.095,2.11,1.141,1.146,86,89.4
77,2.104,2.12,1.163,1.15,66,84.7
78,2.105,2.118,1.148,1.149,85,84.8
79,2.105,2.11,1.163,1.152,108,89.4
80,2.101,2.118,1.16,1.154,208,113.1
81,2.105,2.123,1.187,1.16,234,137.3
82,2.104,2.117,1.167,1.162,207,151.3
83,2.102,2.116,1.163,1.162,182,157.4
84,2.1,2.113,1.161,1.162,248,175.5
85,2.103,2.114,1.181,1.165,182,176.8
86,2.095,2.11,1.179,1.168,108,163.1
87,2.095,2.138,1.217,1.178,249,180.2
88,2.085,2.109,1.167,1.176,147,173.6
89,2.1,2.106,1.175,1.176,147,168.3
90,2.474,2.562,1.145,1.169,174,169.4
91,2.096,2.101,1.176,1.171,185,172.5
92,2.093,2.098,1.172,1.171,234,184.8
93,2.096,2.1,1.175,1.172,122,172.3
94,2.111,2.088,1.157,1.169,91,156
